timestamp,frame,L_knee,R_knee,L_hip,R_hip
2026-05-25T19:48:13.647,97,177.41,178.34,175.0,171.07
2026-05-25T19:48:13.755,98,178.53,178.53,175.94,171.64
2026-05-25T19:48:13.843,99,178.09,177.92,176.07,172.11
2026-05-25T19:48:13.947,100,178.22,177.89,176.57,171.8
2026-05-25T19:48:14.060,101,179.6,177.72,176.66,171.35
2026-05-25T19:48:14.166,102,179.44,177.56,176.33,171.41
2026-05-25T19:48:14.278,103,179.3,177.73,176.07,171.51
2026-05-25T19:48:14.390,104,179.21,177.71,175.95,171.31
2026-05-25T19:48:14.495,105,178.69,178.23,175.43,170.89
2026-05-25T19:48:14.592,106,178.42,178.56,175.29,170.35
2026-05-25T19:48:14.683,107,178.29,178.7,175.65,170.49
2026-05-25T19:48:14.769,108,178.17,179.18,176.23,170.64
2026-05-25T19:48:14.868,109,178.22,179.19,176.99,171.57
2026-05-25T19:48:14.964,110,178.49,179.35,176.83,170.86
2026-05-25T19:48:15.066,111,177.84,179.51,176.45,170.57
2026-05-25T19:48:15.188,112,178.22,179.36,177.05,171.43
2026-05-25T19:48:15.290,113,178.22,179.52,177.32,171.26
2026-05-25T19:48:15.390,114,178.19,179.51,177.08,171.15
2026-05-25T19:48:15.500,115,177.98,179.66,176.87,170.92
2026-05-25T19:48:15.614,116,177.82,179.5,176.93,171.04
2026-05-25T19:48:15.710,117,177.97,179.5,177.19,170.72
2026-05-25T19:48:15.807,118,179.56,178.86,176.93,169.89
2026-05-25T19:48:15.908,119,179.39,179.35,176.93,170.4
2026-05-25T19:48:16.024,120,179.38,179.84,177.31,170.09
2026-05-25T19:48:16.171,121,178.37,179.67,177.32,169.59
2026-05-25T19:48:16.294,122,178.93,179.67,178.03,169.79
2026-05-25T19:48:16.423,123,179.47,179.7,179.01,171.74
2026-05-25T19:48:16.544,124,179.63,179.3,179.59,173.4
2026-05-25T19:48:16.723,125,178.84,179.48,179.93,173.27
2026-05-25T19:48:16.874,126,178.16,179.41,179.82,173.5
2026-05-25T19:48:16.980,127,177.09,179.45,179.57,173.33
2026-05-25T19:48:17.089,128,177.43,179.3,179.65,173.04
2026-05-25T19:48:17.327,129,177.78,179.16,179.44,173.62
2026-05-25T19:48:17.431,130,177.65,179.18,179.79,173.48
2026-05-25T19:48:17.567,131,176.24,176.47,178.5,170.15
2026-05-25T19:48:17.665,132,176.44,177.01,178.71,170.65
2026-05-25T19:48:17.775,133,177.14,178.66,178.92,170.74
2026-05-25T19:48:17.871,134,178.16,179.97,178.94,170.84
2026-05-25T19:48:17.983,135,177.99,179.81,178.77,171.21
2026-05-25T19:48:18.071,136,177.94,179.83,178.82,172.1
2026-05-25T19:48:18.159,137,178.15,179.34,178.52,172.02
2026-05-25T19:48:18.254,138,177.32,179.96,177.83,170.83
2026-05-25T19:48:18.351,139,177.67,179.79,177.95,170.6
2026-05-25T19:48:18.451,140,177.48,179.63,177.92,170.65
2026-05-25T19:48:18.580,141,173.81,172.74,175.31,167.94
2026-05-25T19:48:18.684,142,172.39,163.93,173.77,162.26
2026-05-25T19:48:18.789,143,173.5,163.72,174.71,162.19
2026-05-25T19:48:18.884,144,173.62,160.74,175.26,160.33
2026-05-25T19:48:18.989,145,173.11,163.38,174.94,161.28
2026-05-25T19:48:19.083,146,173.32,163.85,175.15,161.44
2026-05-25T19:48:19.170,147,174.53,166.39,175.94,162.94
2026-05-25T19:48:19.270,148,169.76,151.55,171.35,152.95
2026-05-25T19:48:19.361,149,174.96,161.57,176.88,160.59
2026-05-25T19:48:19.455,150,175.08,163.22,176.26,160.85
2026-05-25T19:48:19.543,151,174.1,161.23,175.4,159.93
2026-05-25T19:48:19.644,152,173.49,159.44,174.69,158.62
2026-05-25T19:48:19.736,153,160.91,138.36,162.54,145.89
2026-05-25T19:48:19.833,154,166.53,140.7,168.22,147.38
2026-05-25T19:48:19.923,155,170.88,147.19,172.91,151.59
2026-05-25T19:48:20.018,156,171.61,153.95,174.63,156.37
2026-05-25T19:48:20.120,157,172.65,161.6,176.09,161.79
2026-05-25T19:48:20.216,158,165.77,148.8,169.24,153.76
2026-05-25T19:48:20.333,159,169.63,151.45,171.8,154.18
2026-05-25T19:48:20.430,160,171.52,154.8,174.04,156.78
2026-05-25T19:48:20.571,161,173.43,159.19,175.33,159.53
2026-05-25T19:48:20.707,162,171.67,160.39,173.45,159.84
2026-05-25T19:48:20.840,163,174.84,169.0,176.99,166.15
2026-05-25T19:48:20.947,164,173.54,165.39,176.51,164.13
2026-05-25T19:48:21.046,165,171.26,158.84,173.91,158.49
2026-05-25T19:48:21.142,166,170.76,156.76,173.63,157.34
2026-05-25T19:48:21.237,167,166.33,147.06,169.5,151.58
2026-05-25T19:48:21.342,168,169.39,151.33,172.18,155.13
2026-05-25T19:48:21.479,169,159.5,137.11,162.42,145.86
2026-05-25T19:48:21.581,170,175.64,170.7,175.74,166.54
2026-05-25T19:48:21.703,171,176.09,170.68,175.54,165.68
2026-05-25T19:48:21.812,172,176.02,170.88,175.23,164.94
2026-05-25T19:48:21.953,173,175.93,170.84,175.41,164.13
2026-05-25T19:48:22.087,174,177.42,175.36,177.67,167.95
2026-05-25T19:48:22.239,175,177.72,176.36,178.87,169.28
2026-05-25T19:48:22.338,176,176.94,174.14,178.36,167.25
2026-05-25T19:48:22.415,177,176.12,169.7,177.3,165.01
2026-05-25T19:48:22.550,178,175.93,169.4,176.57,165.1
2026-05-25T19:48:22.683,179,174.41,162.17,174.67,160.12
2026-05-25T19:48:22.855,180,172.19,156.92,172.71,157.01
2026-05-25T19:48:22.958,181,174.06,167.81,175.7,164.56
2026-05-25T19:48:23.069,182,172.52,160.85,174.95,161.54
2026-05-25T19:48:23.188,183,170.4,149.16,173.05,154.99
2026-05-25T19:48:23.411,184,171.82,153.59,175.11,157.09
2026-05-25T19:48:23.516,185,170.62,154.25,173.88,157.5
2026-05-25T19:48:23.634,186,170.22,155.11,173.45,158.07
2026-05-25T19:48:23.737,187,173.6,170.47,176.2,166.47
2026-05-25T19:48:23.838,188,171.33,164.79,174.4,163.03
2026-05-25T19:48:23.929,189,169.15,152.6,172.16,156.2
2026-05-25T19:48:24.025,190,167.71,149.94,170.99,153.79
2026-05-25T19:48:24.131,191,173.97,163.48,176.16,162.47
2026-05-25T19:48:24.221,192,175.11,165.46,176.42,163.63
2026-05-25T19:48:24.322,193,177.79,175.91,178.15,169.8
2026-05-25T19:48:24.433,194,176.94,175.85,178.17,169.43
2026-05-25T19:48:24.543,195,176.53,175.8,178.42,168.94
2026-05-25T19:48:24.652,196,175.98,175.33,177.56,168.54
2026-05-25T19:48:24.763,197,176.58,163.31,177.55,161.06
2026-05-25T19:48:24.871,198,175.6,161.27,176.49,159.84
2026-05-25T19:48:24.982,199,173.57,162.09,175.5,159.84
2026-05-25T19:48:25.082,200,169.47,161.27,171.93,159.02
2026-05-25T19:48:25.180,201,167.44,159.86,169.76,157.45
2026-05-25T19:48:25.272,202,169.34,160.61,171.81,158.57
2026-05-25T19:48:25.368,203,170.19,165.49,172.54,161.78
2026-05-25T19:48:25.462,204,164.08,151.8,166.4,154.06
2026-05-25T19:48:25.557,205,164.92,148.54,167.14,151.85
2026-05-25T19:48:25.660,206,169.78,156.53,170.91,156.71
2026-05-25T19:48:25.755,207,172.62,162.62,173.01,160.3
2026-05-25T19:48:25.860,208,174.89,167.25,174.73,163.63
2026-05-25T19:48:25.960,209,174.96,168.56,174.92,164.56
2026-05-25T19:48:26.051,210,174.37,164.55,174.31,162.34
2026-05-25T19:48:26.154,211,174.09,162.95,174.29,160.82
2026-05-25T19:48:26.248,212,173.17,163.76,174.34,161.53
2026-05-25T19:48:26.349,213,174.66,170.56,175.72,165.57
2026-05-25T19:48:26.441,214,174.61,169.58,176.11,165.54
2026-05-25T19:48:26.534,215,175.14,173.48,176.32,167.45
2026-05-25T19:48:26.622,216,173.87,171.83,174.92,165.2
